"item_number","item","estimate_mean","estimate_sd","min","max","estimateLikert_mean","estimateLikert_sd","minLikert","maxLikert","example_sentence","H_INDEX","VISUAL_COMPLEXITY","lgSUBTLEX","B: AoA mean","B: AoA SD","B: min","B: max","B: AoALikert mean","B: AoALikert SD","B: minLikert","B: maxLikert","S: AoALikert mean","S: AoALikert SD"
105,"hirsch",4.03125,1.1773226871497122,2,7,2.25,0.672021505032247,1,4,"Der Hirsch stolziert durch den Wald.",1.192470766,3.3,2.1,5.6,3.53,2,15,3,1.56,1,7,2.85,0.8127277008872493
106,"gewaechshaus",6.848484848484849,1.8894644102432196,3,10,3.5757575757575757,0.9364261526644476,2,5,"Ronja wässert ihre Pflanzen im Gewächshaus.",0.459442076,3.33,1.929,7.44,4.18,2,15,3.78,1.9,1,7,NA,NA
107,"saxophon",7.153846153846154,1.7873756008353527,4,12,3.7846153846153845,0.8925439010965317,2,6,"Ronja spielt Saxophon in einer Jazzband.",0.548320249,3.15,1.708,7,2.63,4,16,3.67,1.14,2,7,4.45,1.4680814547887784
108,"kalender",4.8125,1.3060035073805594,3,7,2.6875,0.7803018439949604,2,4,"Ronja trägt einen Termin im Kalender ein.",0.14372617,2.57,2.294,5.39,1.97,2,9,2.94,1.06,1,5,NA,NA
109,"fitnessstudio",7.84375,2.230425606716524,5,14,4.09375,1.0582814736256865,3,7,"Ronja trainiert im Fitnessstudio.",1.714192618,3.53,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"tisch",3.088235294117647,1.3112022486628048,1,6,1.7941176470588236,0.7294419521095056,1,3,"Ronja deckt den Tisch für sieben Personen.",0.40790598,2.16,3.351,3.12,1.81,1,8,1.76,0.93,1,4,1.35,0.5871429486123997
111,"drache",3.53125,1.0467884834255,2,6,1.96875,0.594836654184399,1,3,"Der Drache hortet einen großen Schatz.",0,3.37,2.425,4.35,2.16,2,10,2.45,1.1,1,5,NA,NA
112,"lunge",5.96969696969697,1.758636696507562,3,10,3.212121212121212,0.8929437187463076,2,5,"Rauchen schadet der Lunge.",1.534655495,2.99,2.387,6.94,2.26,4,11,3.78,1.17,2,6,NA,NA
113,"see",3.5625,1.2164862143392416,2,7,2.03125,0.6948833738303187,1,4,"Ronja schwimmt im See.",1.453607144,2.7,3.017,3.92,1.55,1,8,2.16,0.75,1,4,NA,NA
114,"obst",3.323529411764706,1.342105723047185,1,6,1.9411764705882353,0.6937459350943204,1,3,"Der regelmäßige Verzehr von Obst ist wichtig für die Gesundheit.",0.40790598,3.38,2.134,3.38,1.61,1,7,1.96,0.91,1,4,NA,NA
115,"nilpferd",5.121212121212121,1.7276714053454971,1,8,2.878787878787879,0.8572330399888264,1,4,"Das Nilpferd watet durch den Fluss.",0.672867158,2.87,1.431,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1.2732056517228267
116,"feuer",3.6363636363636362,1.1406736446663277,1,6,2.090909090909091,0.6306562238868912,1,3,"Im Kamin lodert ein Feuer.",0,2.64,3.559,3,1.15,1,5,1.79,0.63,1,3,NA,NA
117,"pferd",3.125,0.7931155389125321,2,4,1.75,0.43994134506405985,1,2,"Das Pferd trabt über die Weide.",0.410837839,3.56,3.108,2.82,1.33,0,5,1.71,0.59,1,3,1.75,0.5501196042201808
118,"wunde",4.121212121212121,1.709487784351934,2,8,2.272727272727273,0.8758113121817134,1,4,"Ronja hat eine Wunde am Knie.",0.86235472,3.22,2.673,4.5,2.93,1,12,2.55,1.47,1,6,NA,NA
119,"walnuss",4.258064516129032,1.0635707760647266,2,6,2.4516129032258065,0.5679618342470648,1,3,"Ronja knackt eine Walnuss.",0.646017479,3.43,1.398,4.91,1.76,2,8,2.61,0.89,1,4,NA,NA
121,"labyrinth",6.03,1.789164920042619,2,10,3.28,0.9220092245205631,1,5,"Ronja verläuft sich im Labyrinth.",0,2.72,2.053,6.63,2.36,3,13,3.63,1.2,2,7,NA,NA
122,"stuhl",3.176470588235294,1.336449122370355,1,6,1.8529411764705883,0.6574677289546277,1,3,"Der Stuhl steht am Tisch.",0,2.4,2.892,2.86,1.2,0,8,1.69,0.64,1,4,1.6,0.5982430416161186
